# CVS $Revision: $ $Author: $ -- Wed Mar 20 16:10:53 2013 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:classless	SOURCESHORT:cles
#Original Entry: Andrew Maitland

# CVS $Revision: $ $Author: $ -- Mon Aug 25 14:14:53 2008 -- reformated by prettylst.pl v1.38 (build 7302)
### MAIN SRD SPELLS - REVISED TO MY STANDARDS
###Block: AB
SOURCELONG:Is This It	SOURCESHORT:Is This It	SOURCEDATE:2007-03
Dimensional Anchor.MOD		CLASSES:Canonry,Sorcery,Wizardry=4										PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry]
Dimensional Lock.MOD		CLASSES:Canonry,Sorcery,Wizardry=8										PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry]
Diminish Plants.MOD		CLASSES:Wicca,Wicca ~ Advanced=3										PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wicca]
Discern Lies.MOD			CLASSES:Canonry ~ Basics=3|Canonry=4									PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Canonry]
Discern Location.MOD		CLASSES:Canonry,Sorcery,Wizardry=8										PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry]
Disguise Self.MOD			CLASSES:Sorcery,Wizardry=1											PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Disintegrate.MOD			CLASSES:Sorcery,Wizardry=6											PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Dismissal.MOD			CLASSES:Canonry=4|Sorcery,Wizardry=5									PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry]
Dispel Chaos.MOD			CLASSES:Canonry ~ Basics=4|Canonry=5									PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Canonry]
Dispel Evil.MOD			CLASSES:Canonry ~ Basics=4|Canonry=5									PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Canonry]
Dispel Good.MOD			CLASSES:Canonry=5													PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Dispel Law.MOD			CLASSES:Canonry=5													PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Dispel Magic.MOD			CLASSES:Canonry,Canonry ~ Basics,Sorcery,Wizardry=3|Wicca ~ Advanced=4				PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Wicca,Basic Canonry]
Dispel Magic (Greater).MOD	CLASSES:Sorcery,Wizardry=5|Canonry,Wicca ~ Advanced,Wizardry ~ Basic=6				PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Canonry,Advanced Wicca]
Displacement.MOD			CLASSES:Sorcery,Wizardry,Wizardry ~ Basic=3								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Disrupt Undead.MOD		CLASSES:Sorcery,Wizardry=0											PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Disrupting Weapon.MOD		CLASSES:Canonry=5													PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Divination.MOD			CLASSES:Canonry=4													PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Divine Favor.MOD			CLASSES:Canonry,Canonry ~ Basics=1										PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Canonry]
Divine Power.MOD			CLASSES:Canonry=4													PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Dominate Animal.MOD		CLASSES:Wicca ~ Advanced=3											PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wicca]
Dominate Monster.MOD		CLASSES:Sorcery,Wizardry=9											PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Dominate Person.MOD		CLASSES:Sorcery,Wizardry=4|Wizardry ~ Basic=5								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Doom.MOD				CLASSES:Canonry=1													PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Drawmij's Instant Summons.MOD	CLASSES:Sorcery,Wizardry=7											PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Dream.MOD				CLASSES:Sorcery,Wizardry,Wizardry ~ Basic=5								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Eagle's Splendor.MOD		CLASSES:Canonry,Canonry ~ Basics,Sorcery,Wizardry,Wizardry ~ Basic=2				PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Basic Canonry]
Eagle's Splendor (Mass).MOD	CLASSES:Canonry,Sorcery,Wizardry=6										PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry]
Earthquake.MOD			CLASSES:Canonry,Wicca ~ Advanced=8										PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry,Advanced Wicca]
Elemental Swarm.MOD		CLASSES:Wicca ~ Advanced=9											PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wicca]
Endure Elements.MOD		CLASSES:Canonry,Canonry ~ Basics,Sorcery,Wicca,Wicca ~ Advanced,Wizardry=1			PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Basic Wicca,Basic Canonry]
Energy Drain.MOD			CLASSES:Canonry,Sorcery,Wizardry=9										PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry]
Enervation.MOD			CLASSES:Sorcery,Wizardry=4											PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Enlarge Person.MOD		CLASSES:Sorcery,Wizardry=1											PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Enlarge Person (Mass).MOD	CLASSES:Sorcery,Wizardry=4											PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Entangle.MOD			CLASSES:Wicca,Wicca ~ Advanced=1										PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wicca]
Enthrall.MOD			CLASSES:Canonry,Sorcery,Wizardry=2										PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Canonry]
Entropic Shield.MOD		CLASSES:Canonry=1													PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Erase.MOD				CLASSES:Sorcery,Wizardry=1											PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Ethereal Jaunt.MOD		CLASSES:Canonry,Sorcery,Wizardry=7										PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry]
Etherealness.MOD			CLASSES:Canonry,Sorcery,Wizardry=9										PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry]
Evard's Black Tentacles.MOD	CLASSES:Sorcery,Wizardry=4											PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Expeditious Retreat.MOD		CLASSES:Sorcery,Wizardry=1											PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Explosive Runes.MOD		CLASSES:Sorcery,Wizardry=3											PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Eyebite.MOD				CLASSES:Sorcery,Wizardry=6											PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]


# CVS $Revision: $ $Author: $ -- Wed May 13 09:58:28 2009 -- reformated by prettylst.pl v1.38 (build 7302)
SOURCELONG:classless	SOURCESHORT:cles
#Original Entry: Andrew Maitland

###Block: FG

# Spell Name					Classes of caster								Components	Multiple Requirements
Fabricate.MOD					CLASSES:Sorcery,Wizardry=5								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Faerie Fire.MOD					CLASSES:Wicca ~ Advanced=1								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wicca]
False Life.MOD					CLASSES:Sorcery,Wizardry=2								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
False Vision.MOD					CLASSES:Sorcery,Wizardry=5								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Fear.MOD						CLASSES:Sorcery,Wizardry=3|Wizardry ~ Basic=4					PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Feather Fall.MOD					CLASSES:Sorcerer,Wizardry,Wizardry ~ Basic=1					PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Feeblemind.MOD					CLASSES:Sorcery,Wizardry=5								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Find the Path.MOD					CLASSES:Canonry,Wicca ~ Advanced,Wizardry=6					PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Canonry,Advanced Wicca]
Find Traps.MOD					CLASSES:Canonry=2										PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Finger of Death.MOD				CLASSES:Sorcery,Wizardry=7|Wicca ~ Advanced=8					PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Wicca]
Fire Seeds.MOD					CLASSES:Wicca ~ Advanced=6								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wicca]
Fire Shield.MOD					CLASSES:Sorcery,Wizardry=4								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Fire Storm.MOD					CLASSES:Wicca ~ Advanced=7|Canonry=8						PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wicca]
Fire Trap.MOD					CLASSES:Wicca ~ Advanced=2|Sorcery,Wizardry=4					PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Wicca]
Fireball.MOD					CLASSES:Sorcery,Wizardry=3								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Flame Arrow.MOD					CLASSES:Sorcery,Wizardry=3								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Flame Blade.MOD					CLASSES:Wicca ~ Advanced=2								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wicca]
Flame Strike.MOD					CLASSES:Wicca ~ Advanced=4|Canonry=5						PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry,Advanced Wicca]
Flaming Sphere.MOD				CLASSES:Sorcery,Wicca ~ Advanced,Wizardry=2					PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Wicca]
Flare.MOD						CLASSES:Sorcery,Wicca ~ Advanced,Wizardry=0					PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Wicca]
Flesh to Stone.MOD				CLASSES:Sorcery,Wizardry=6								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Fly.MOD						CLASSES:Sorcery,Wizardry=3								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Fog Cloud.MOD					CLASSES:Sorcery,Wicca ~ Advanced,Wizardry=2					PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Wicca]
Forbiddance.MOD					CLASSES:Canonry=6										PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Forcecage.MOD					CLASSES:Sorcery,Wizardry=7								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Foresight.MOD					CLASSES:Sorcery,Wicca ~ Advanced,Wizardry=9					PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Wicca]
Fox's Cunning.MOD					CLASSES:Sorcery,Wizardry,Wizardry ~ Basic=2					PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Fox's Cunning (Mass).MOD			CLASSES:Sorcery,Wizardry,Wizardry ~ Basic=6					PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Freedom.MOD						CLASSES:Sorcery,Wizardry=9								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Freedom of Movement.MOD				CLASSES:Canonry,Sorcery,Wicca,Wicca ~ Advanced,Wizardry=4			PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Canonry,Advanced Wicca]
Gaseous Form.MOD					CLASSES:Sorcery,Wizardry,Wizardry ~ Basic=3			COMPS:S, M
Gate.MOD						CLASSES:Canonry,Sorcery,Wizardry=9							PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry]
Geas (Lesser).MOD					CLASSES:Sorcery,Wizardry=3|Wizardry ~ Basic=4					PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Geas/Quest.MOD					CLASSES:Canonry,Sorcery,Wizardry,Wizardry ~ Basic=6				PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Canonry]
Gentle Repose.MOD					CLASSES:Canonry=2|Sorcery,Wizardry=3						PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry]
Ghost Sound.MOD					CLASSES:Sorcerer,Sorcery,Wizardry,Wizardry ~ Basic=0				PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Ghoul Touch.MOD					CLASSES:Sorcery,Wizardry=2								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Giant Vermin.MOD					CLASSES:Canonry,Wicca ~ Advanced=4							PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry,Advanced Wicca]
Glibness.MOD					CLASSES:Sorcery,Wizardry=3						COMPS:S
Glitterdust.MOD					CLASSES:Sorcery,Wizardry,Wizardry ~ Basic=2					PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Globe of Invulnerability.MOD			CLASSES:Sorcery,Wizardry=6								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Globe of Invulnerability (Lesser).MOD	CLASSES:Sorcery,Wizardry=4								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Glyph of Warding.MOD				CLASSES:Canonry=3										PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Glyph of Warding (Greater).MOD		CLASSES:Canonry=6										PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Good Hope.MOD					CLASSES:Sorcery,Wizardry=3								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Goodberry.MOD					CLASSES:Wicca ~ Advanced=1								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wicca]
Grease.MOD						CLASSES:Sorcery,Wizardry,Wizardry ~ Basic=1					PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Guards and Wards.MOD				CLASSES:Sorcery,Wizardry=6								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Guidance.MOD					CLASSES:Canonry,Wicca ~ Advanced=0							PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry,Advanced Wicca]
Gust of Wind.MOD					CLASSES:Sorcery,Wicca ~ Advanced,Wizardry=2					PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Wicca]

###Block: HI

# Spell Name				Classes of caster						Multiple Requirements
Hallow.MOD					CLASSES:Canonry,Wicca ~ Advanced=5			PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry,Advanced Wicca]
Hallucinatory Terrain.MOD		CLASSES:Sorcery,Wizardry,Wizardry ~ Basic=4	PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Halt Undead.MOD				CLASSES:Sorcery,Wizardry=3				PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Harm.MOD					CLASSES:Canonry=6						PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Haste.MOD					CLASSES:Sorcery,Wizardry,Wizardry ~ Basic=3	PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Heal.MOD					CLASSES:Canonry=6|Wicca ~ Advanced=7		PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry,Advanced Wicca]
Heal (Mass).MOD				CLASSES:Canonry=9						PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Heal Mount.MOD				CLASSES:Canonry ~ Basics=3				PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Canonry]
Heat Metal.MOD				CLASSES:Wicca ~ Advanced=2				PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wicca]
Helping Hand.MOD				CLASSES:Canonry=3						PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Heroes' Feast.MOD				CLASSES:Canonry,Wizardry=6				PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Canonry]
Heroism.MOD					CLASSES:Sorcery,Wizardry=2|Wizardry ~ Basic=3	PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Heroism (Greater).MOD			CLASSES:Sorcery,Wizardry=5|Wizardry ~ Basic=6	PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Hide from Animals.MOD			CLASSES:Wicca,Wicca ~ Advanced=1
Hide from Undead.MOD			CLASSES:Canonry=1						PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Hold Animal.MOD				CLASSES:Wicca,Wicca ~ Advanced=2			PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wicca]
Hold Monster.MOD				CLASSES:Sorcery,Wizardry=5				PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Hold Monster (Mass).MOD			CLASSES:Sorcery,Wizardry=9				PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Hold Person.MOD				CLASSES:Canonry=2|Sorcery,Wizardry=3		PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Canonry]
Hold Person (Mass).MOD			CLASSES:Sorcery,Wizardry=7				PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Hold Portal.MOD				CLASSES:Sorcery,Wizardry=1				PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Holy Aura.MOD				CLASSES:Canonry=8						PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Holy Sword.MOD				CLASSES:Canonry ~ Basics=4				PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Canonry]
Holy Word.MOD				CLASSES:Canonry=7						PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Horrid Wilting.MOD			CLASSES:Sorcery,Wizardry=8				PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Hypnotic Pattern.MOD			CLASSES:Sorcery,Wizardry,Wizardry ~ Basic=2	PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Hypnotism.MOD				CLASSES:Sorcery,Wizardry,Wizardry ~ Basic=1	PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Ice Storm.MOD				CLASSES:Sorcery,Wicca ~ Advanced,Wizardry=4	PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Wicca]
Identify.MOD				CLASSES:Sorcery,Wizardry,Wizardry ~ Basic=1	PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Illusory Script.MOD			CLASSES:Sorcery,Wizardry,Wizardry ~ Basic=3	PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Illusory Wall.MOD				CLASSES:Sorcery,Wizardry=4				PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Imbue with Spell Ability.MOD		CLASSES:Canonry=4						PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Implosion.MOD				CLASSES:Canonry=9						PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Imprisonment.MOD				CLASSES:Sorcery,Wizardry=9				PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Incendiary Cloud.MOD			CLASSES:Sorcery,Wizardry=8				PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Inflict Critical Wounds.MOD		CLASSES:Canonry=4						PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Inflict Critical Wounds (Mass).MOD	CLASSES:Canonry=8						PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Inflict Light Wounds.MOD		CLASSES:Canonry=1						PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Inflict Light Wounds (Mass).MOD	CLASSES:Canonry=5						PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Inflict Minor Wounds.MOD		CLASSES:Canonry=0						PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Inflict Moderate Wounds.MOD		CLASSES:Canonry=2						PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Inflict Moderate Wounds (Mass).MOD	CLASSES:Canonry=6						PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Inflict Serious Wounds.MOD		CLASSES:Canonry=3						PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Inflict Serious Wounds (Mass).MOD	CLASSES:Canonry=7						PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Insanity.MOD				CLASSES:Sorcery,Wizardry=7				PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Insect Plague.MOD				CLASSES:Canonry,Wicca ~ Advanced=5			PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry,Advanced Wicca]
Invisibility.MOD				CLASSES:Sorcery,Wizardry,Wizardry ~ Basic=2	PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Invisibility (Greater).MOD		CLASSES:Sorcery,Wizardry,Wizardry ~ Basic=4	PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Invisibility (Mass).MOD			CLASSES:Sorcery,Wizardry=7				PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Invisibility Purge.MOD			CLASSES:Canonry=3						PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Invisibility Sphere.MOD			CLASSES:Sorcery,Wizardry,Wizardry ~ Basic=3	PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Iron Body.MOD				CLASSES:Sorcery,Wizardry=8				PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Ironwood.MOD				CLASSES:Wicca ~ Advanced=6				PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wicca]

###Block: JKL

# Spell Name			Classes of caster							Multiple Requirements
Jump.MOD				CLASSES:Sorcery,Wicca,Wicca ~ Advanced,Wizardry=1	PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Basic Wicca]
Keen Edge.MOD			CLASSES:Sorcery,Wizardry=3					PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Knock.MOD				CLASSES:Sorcery,Wizardry=2					PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Know Direction.MOD		CLASSES:Sorcery,Wicca ~ Advanced,Wizardry=0		PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Wicca]
Legend Lore.MOD			CLASSES:Sorcery,Wizardry=6					PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
