# CVS $Revision: 11749 $ $Author: amaitland $ -- Wed Mar 20 16:10:53 2013 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:Eclipse - The Codex Persona	SOURCESHORT:Eclipse	SOURCEWEB:http://www.lulu.com/content/435647
Mystic Artist Skill ~ Perform (String Instruments)											CATEGORY:Special Ability																																						DEFINE:MysticArtistSkillString|0																																																																																																																																																																																																																																																																																									STACK:YES	MULT:YES	CHOOSE:NOCHOICE																																																							BONUS:ABILITYPOOL|Mystic Artist Skill|MysticArtistSkillString	BONUS:VAR|MysticArtistSkillString|1|PRESKILL:1,Perform (String)=3	BONUS:VAR|MysticArtistSkillString|1|PRESKILL:1,Perform (String)=4	BONUS:VAR|MysticArtistSkillString|1|PRESKILL:1,Perform (String)=5	BONUS:VAR|MysticArtistSkillString|1|PRESKILL:1,Perform (String)=6	BONUS:VAR|MysticArtistSkillString|1|PRESKILL:1,Perform (String)=9	BONUS:VAR|MysticArtistSkillString|1|PRESKILL:1,Perform (String)=12	BONUS:VAR|MysticArtistSkillString|1|PRESKILL:1,Perform (String)=15	BONUS:VAR|MysticArtistSkillString|1|PRESKILL:1,Perform (String)=18	BONUS:VAR|MysticArtistSkillString|1|PRESKILL:1,Perform (String)=21	BONUS:VAR|MysticArtistSkillString|1|PRESKILL:1,Perform (String)=24	BONUS:VAR|MysticArtistSkillString|1|PRESKILL:1,Perform (String)=30	BONUS:VAR|MysticArtistSkillString|1|PRESKILL:1,Perform (String)=36	BONUS:VAR|MysticArtistSkillString|1|PRESKILL:1,Perform (String)=48	BONUS:VAR|MysticArtistSkillString|1|PRESKILL:1,Perform (String)=60
Mystic Artist Skill ~ Perform (Wind Instruments)											CATEGORY:Special Ability																																						DEFINE:MysticArtistSkillWind|0																																																																																																																																																																																																																																																																																									STACK:YES	MULT:YES	CHOOSE:NOCHOICE																																																							BONUS:ABILITYPOOL|Mystic Artist Skill|MysticArtistSkillWind		BONUS:VAR|MysticArtistSkillWind|1|PRESKILL:1,Perform (Wind)=3	BONUS:VAR|MysticArtistSkillWind|1|PRESKILL:1,Perform (Wind)=4	BONUS:VAR|MysticArtistSkillWind|1|PRESKILL:1,Perform (Wind)=5	BONUS:VAR|MysticArtistSkillWind|1|PRESKILL:1,Perform (Wind)=6	BONUS:VAR|MysticArtistSkillWind|1|PRESKILL:1,Perform (Wind)=9	BONUS:VAR|MysticArtistSkillWind|1|PRESKILL:1,Perform (Wind)=12	BONUS:VAR|MysticArtistSkillWind|1|PRESKILL:1,Perform (Wind)=15	BONUS:VAR|MysticArtistSkillWind|1|PRESKILL:1,Perform (Wind)=18	BONUS:VAR|MysticArtistSkillWind|1|PRESKILL:1,Perform (Wind)=21	BONUS:VAR|MysticArtistSkillWind|1|PRESKILL:1,Perform (Wind)=24	BONUS:VAR|MysticArtistSkillWind|1|PRESKILL:1,Perform (Wind)=30	BONUS:VAR|MysticArtistSkillWind|1|PRESKILL:1,Perform (Wind)=36	BONUS:VAR|MysticArtistSkillWind|1|PRESKILL:1,Perform (Wind)=48	BONUS:VAR|MysticArtistSkillWind|1|PRESKILL:1,Perform (Wind)=60
Mystic Artist Skill ~ Perform (Sing)													CATEGORY:Special Ability																																						DEFINE:MysticArtistSkillSing|0																																																																																																																																																																																																																																																																																									STACK:YES	MULT:YES	CHOOSE:NOCHOICE																																																							BONUS:ABILITYPOOL|Mystic Artist Skill|MysticArtistSkillSing		BONUS:VAR|MysticArtistSkillSing|1|PRESKILL:1,Perform (Sing)=3	BONUS:VAR|MysticArtistSkillSing|1|PRESKILL:1,Perform (Sing)=4	BONUS:VAR|MysticArtistSkillSing|1|PRESKILL:1,Perform (Sing)=5	BONUS:VAR|MysticArtistSkillSing|1|PRESKILL:1,Perform (Sing)=6	BONUS:VAR|MysticArtistSkillSing|1|PRESKILL:1,Perform (Sing)=9	BONUS:VAR|MysticArtistSkillSing|1|PRESKILL:1,Perform (Sing)=12	BONUS:VAR|MysticArtistSkillSing|1|PRESKILL:1,Perform (Sing)=15	BONUS:VAR|MysticArtistSkillSing|1|PRESKILL:1,Perform (Sing)=18	BONUS:VAR|MysticArtistSkillSing|1|PRESKILL:1,Perform (Sing)=21	BONUS:VAR|MysticArtistSkillSing|1|PRESKILL:1,Perform (Sing)=24	BONUS:VAR|MysticArtistSkillSing|1|PRESKILL:1,Perform (Sing)=30	BONUS:VAR|MysticArtistSkillSing|1|PRESKILL:1,Perform (Sing)=36	BONUS:VAR|MysticArtistSkillSing|1|PRESKILL:1,Perform (Sing)=48	BONUS:VAR|MysticArtistSkillSing|1|PRESKILL:1,Perform (Sing)=60






# Rune Casting

Rune Casting (Time)																CATEGORY:Special Ability	TYPE:SpellCasterOutput																																		DEFINE:RCTime|skillinfo("TOTAL","Rune Casting (Time)")	DEFINE:RMTime|skillinfo("TOTAL","Rune Mastery (Time)")									DESC:Your caster level is %1 [Rune Casting Skill/2], your Spell Level is %2 [Rune Mastery Skill/4]. Each Spell Level costs 1 mana to cast.|floor((RCTime/2)+(0.50001))+PointBuyRuneCasterCasterLvl|floor((RMTime/4)+(0.50001))																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			SOURCEPAGE:p.97
Rune Casting (Force)																CATEGORY:Special Ability	TYPE:SpellCasterOutput																																		DEFINE:RCForce|skillinfo("TOTAL","Rune Casting (Force)")	DEFINE:RMForce|skillinfo("TOTAL","Rune Mastery (Force)")									DESC:Your caster level is %1 [Rune Casting Skill/2], your Spell Level is %2 [Rune Mastery Skill/4]. Each Spell Level costs 1 mana to cast.|floor((RCForce/2)+(0.50001))+PointBuyRuneCasterCasterLvl|floor((RMForce/4)+(0.50001))																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			SOURCEPAGE:p.97
Rune Casting (Bubbles)																CATEGORY:Special Ability	TYPE:SpellCasterOutput																																		DEFINE:RCBubbles|skillinfo("TOTAL","Rune Casting (Bubbles)")	DEFINE:RMBubbles|skillinfo("TOTAL","Rune Mastery (Bubbles)")							DESC:Your caster level is %1 [Rune Casting Skill/2], your Spell Level is %2 [Rune Mastery Skill/4]. Each Spell Level costs 1 mana to cast.|floor((RCBubbles/2)+(0.50001))+PointBuyRuneCasterCasterLvl|floor((RMBubbles/4)+(0.50001))																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		SOURCEPAGE:p.97
Rune Casting (Heal)																CATEGORY:Special Ability	TYPE:SpellCasterOutput																																		DEFINE:RCHeal|skillinfo("TOTAL","Rune Casting (Heal)")	DEFINE:RMHeal|skillinfo("TOTAL","Rune Mastery (Heal)")									DESC:Your caster level is %1 [Rune Casting Skill/2], your Spell Level is %2 [Rune Mastery Skill/4]. Each Spell Level costs 1 mana to cast.|floor((RCHeal/2)+(0.50001))+PointBuyRuneCasterCasterLvl|floor((RMHeal/4)+(0.50001))																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			SOURCEPAGE:p.97
Rune Casting (Technomancy)															CATEGORY:Special Ability	TYPE:SpellCasterOutput																																		DEFINE:RCTechnomancy|skillinfo("TOTAL","Rune Casting (Technomancy)")	DEFINE:RMTechnomancy|skillinfo("TOTAL","Rune Mastery (Technomancy)")					DESC:Your caster level is %1 [Rune Casting Skill/2], your Spell Level is %2 [Rune Mastery Skill/4]. Each Spell Level costs 1 mana to cast.|floor((RCTechnomancy/2)+(0.50001))+PointBuyRuneCasterCasterLvl|floor((RMTechnomancy/4)+(0.50001))																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	SOURCEPAGE:p.97
Rune Casting (Divination)															CATEGORY:Special Ability	TYPE:SpellCasterOutput																																		DEFINE:RCDivination|skillinfo("TOTAL","Rune Casting (Divination)")	DEFINE:RMDivination|skillinfo("TOTAL","Rune Mastery (Divination)")					DESC:Your caster level is %1 [Rune Casting Skill/2], your Spell Level is %2 [Rune Mastery Skill/4]. Each Spell Level costs 1 mana to cast.|floor((RCDivination/2)+(0.50001))+PointBuyRuneCasterCasterLvl|floor((RMDivination/4)+(0.50001))																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	SOURCEPAGE:p.97
Rune Casting (Life and Healing)														CATEGORY:Special Ability	TYPE:SpellCasterOutput																																		DEFINE:RCLifeandHealing|skillinfo("TOTAL","Rune Casting (Life and Healing)")	DEFINE:RMLifeandHealing|skillinfo("TOTAL","Rune Mastery (Life and Healing)")			DESC:Your caster level is %1 [Rune Casting Skill/2], your Spell Level is %2 [Rune Mastery Skill/4]. Each Spell Level costs 1 mana to cast.|floor((RCLifeandHealing/2)+(0.50001))+PointBuyRuneCasterCasterLvl|floor((RMLifeandHealing/4)+(0.50001))																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																SOURCEPAGE:p.97
Rune Casting (Spirit)																CATEGORY:Special Ability	TYPE:SpellCasterOutput																																		DEFINE:RCSpirit|skillinfo("TOTAL","Rune Casting (Spirit)")	DEFINE:RMSpirit|skillinfo("TOTAL","Rune Mastery (Spirit)")									DESC:Your caster level is %1 [Rune Casting Skill/2], your Spell Level is %2 [Rune Mastery Skill/4]. Each Spell Level costs 1 mana to cast.|floor((RCSpirit/2)+(0.50001))+PointBuyRuneCasterCasterLvl|floor((RMSpirit/4)+(0.50001))																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			SOURCEPAGE:p.97
Rune Casting (Wards and Shields)														CATEGORY:Special Ability	TYPE:SpellCasterOutput																																		DEFINE:RCWardsandShields|skillinfo("TOTAL","Rune Casting (Wards and Shields)")	DEFINE:RMWardsandShields|skillinfo("TOTAL","Rune Mastery (Wards and Shields)")	DESC:Your caster level is %1 [Rune Casting Skill/2], your Spell Level is %2 [Rune Mastery Skill/4]. Each Spell Level costs 1 mana to cast.|floor((RCWardsandShields/2)+(0.50001))+PointBuyRuneCasterCasterLvl|floor((RMWardsandShields/4)+(0.50001))																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																SOURCEPAGE:p.97

Rune Casting (Biological Energies)														CATEGORY:Special Ability	TYPE:SpellCasterOutput																																		DEFINE:RCBiologicalEnergies|skillinfo("TOTAL","Rune Casting (Biological Energies)")	DEFINE:RMBiologicalEnergies|skillinfo("TOTAL","Rune Mastery (Biological Energies)")	DESC:Your caster level is %1 [Rune Casting Skill/2], your Spell Level is %2 [Rune Mastery Skill/4]. Each Spell Level costs 1 mana to cast.|floor((RCBiologicalEnergies/2)+(0.50001))+PointBuyRuneCasterCasterLvl|floor((RMBiologicalEnergies/4)+(0.50001))																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															SOURCEPAGE:p.97
Rune Casting (Water)																CATEGORY:Special Ability	TYPE:SpellCasterOutput																																		DEFINE:RCWater|skillinfo("TOTAL","Rune Casting (Water)")	DEFINE:RMWater|skillinfo("TOTAL","Rune Mastery (Water)")									DESC:Your caster level is %1 [Rune Casting Skill/2], your Spell Level is %2 [Rune Mastery Skill/4]. Each Spell Level costs 1 mana to cast.|floor((RCWater/2)+(0.50001))+PointBuyRuneCasterCasterLvl|floor((RMWater/4)+(0.50001))																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			SOURCEPAGE:p.97
Rune Casting (Dimensional Magic)														CATEGORY:Special Ability	TYPE:SpellCasterOutput																																		DEFINE:RCDimensionalMagic|skillinfo("TOTAL","Rune Casting (Dimensional Magic)")	DEFINE:RMDimensionalMagic|skillinfo("TOTAL","Rune Mastery (Dimensional Magic)")	DESC:Your caster level is %1 [Rune Casting Skill/2], your Spell Level is %2 [Rune Mastery Skill/4]. Each Spell Level costs 1 mana to cast.|floor((RCDimensionalMagic/2)+(0.50001))+PointBuyRuneCasterCasterLvl|floor((RMDimensionalMagic/4)+(0.50001))																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															SOURCEPAGE:p.97


Rune Casting (Dreams)																CATEGORY:Special Ability	TYPE:SpellCasterOutput																																		DEFINE:RCDreams|skillinfo("TOTAL","Rune Casting (Dreams)")	DEFINE:RMDreams|skillinfo("TOTAL","Rune Mastery (Dreams)")									DESC:Your caster level is %1 [Rune Casting Skill/2], your Spell Level is %2 [Rune Mastery Skill/4]. Each Spell Level costs 1 mana to cast.|floor((RCDreams/2)+(0.50001))+PointBuyRuneCasterCasterLvl|floor((RMDreams/4)+(0.50001))																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			SOURCEPAGE:p.97
Rune Casting (Alchemical)															CATEGORY:Special Ability	TYPE:SpellCasterOutput																																		DEFINE:RCAlchemical|skillinfo("TOTAL","Rune Casting (Alchemical)")	DEFINE:RMAlchemical|skillinfo("TOTAL","Rune Mastery (Alchemical)")					DESC:Your caster level is %1 [Rune Casting Skill/2], your Spell Level is %2 [Rune Mastery Skill/4]. Each Spell Level costs 1 mana to cast.|floor((RCAlchemical/2)+(0.50001))+PointBuyRuneCasterCasterLvl|floor((RMAlchemical/4)+(0.50001))																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	SOURCEPAGE:p.97
Rune Casting (Lightning)															CATEGORY:Special Ability	TYPE:SpellCasterOutput																																		DEFINE:RCLightning|skillinfo("TOTAL","Rune Casting (Lightning)")	DEFINE:RMLightning|skillinfo("TOTAL","Rune Mastery (Lightning)")					DESC:Your caster level is %1 [Rune Casting Skill/2], your Spell Level is %2 [Rune Mastery Skill/4]. Each Spell Level costs 1 mana to cast.|floor((RCLightning/2)+(0.50001))+PointBuyRuneCasterCasterLvl|floor((RMLightning/4)+(0.50001))																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	SOURCEPAGE:p.97


# Martial Arts
# MArtial Arts Stuff -
Hiten Mitsurugi Ryuu (Dex)													SORTKEY:A1	CATEGORY:Special Ability	TYPE:MartialArtsOutput																																																														DESC:This is the style made up with no cool description, hopefully this will prompt the player to make something nice and fancy instead of ugly. &nl; [Requires] Finesse, Reflex Training(Quick Draw/Quick Sheathe)&nl; [Basic Techniques] Attack IV, Defenses IV, Power&nl; [Advanced Techniques] Mighty Blow, Reach, Instant Stand, Versatility, Sneak Attack&nl; [Occult Techniques] Ki Block, Paralyze, Overburden, Touch Strike

Hiten Mitsurugi Ryuu Basic Chooser					KEY:MA ~ Hiten Mitsurugi Ryuu ~ BC				CATEGORY:Special Ability	TYPE:MA ~ Hiten Mitsurugi Ryuu																																																																																																																																																																																																																																																																																																																																MULT:YES	CHOOSE:STRING|Attack 1|Attack 2|Attack 3|Attack 4|Defenses 1|Defenses 2|Defenses 3|Defenses 4|Power 1
CATEGORY=Special Ability|Hiten Mitsurugi Ryuu (Dex).MOD																																																																																DESC:&nl;Known Basic Techniques|PREABILITY:1,CATEGORY=Special Ability,MA ~ Hiten Mitsurugi Ryuu ~ BC	DESC:Power 1|PREABILITY:1,CATEGORY=Special Ability,MA ~ Hiten Mitsurugi Ryuu ~ BC (Power 1)	DESC:Attack 1|PREABILITY:1,CATEGORY=Special Ability,MA ~ Hiten Mitsurugi Ryuu ~ BC (Attack 1)	DESC:Attack 2|PREABILITY:1,CATEGORY=Special Ability,MA ~ Hiten Mitsurugi Ryuu ~ BC (Attack 2)	DESC:Attack 3|PREABILITY:1,CATEGORY=Special Ability,MA ~ Hiten Mitsurugi Ryuu ~ BC (Attack 3)	DESC:Attack 4|PREABILITY:1,CATEGORY=Special Ability,MA ~ Hiten Mitsurugi Ryuu ~ BC (Attack 4)	DESC:Defenses 1|PREABILITY:1,CATEGORY=Special Ability,MA ~ Hiten Mitsurugi Ryuu ~ BC (Defenses 1)	DESC:Defenses 2|PREABILITY:1,CATEGORY=Special Ability,MA ~ Hiten Mitsurugi Ryuu ~ BC (Defenses 2)	DESC:Defenses 3|PREABILITY:1,CATEGORY=Special Ability,MA ~ Hiten Mitsurugi Ryuu ~ BC (Defenses 3)	DESC:Defenses 4|PREABILITY:1,CATEGORY=Special Ability,MA ~ Hiten Mitsurugi Ryuu ~ BC (Defenses 4)

Hiten Mitsurugi Ryuu Advanced Chooser				KEY:MA ~ Hiten Mitsurugi Ryuu ~ AC				CATEGORY:Special Ability	TYPE:MA ~ Hiten Mitsurugi Ryuu	PREABILITY:3,CATEGORY=Special Ability,MA ~ Hiten Mitsurugi Ryuu ~ BC							!PREABILITY:4,CATEGORY=Special Ability,MA ~ Hiten Mitsurugi Ryuu ~ AC																																																																																																																																																																																																																																																																																																		MULT:YES	CHOOSE:STRING|Instant Stand|Mighty Blow|Reach|Sneak Attack 1|Versatility
CATEGORY=Special Ability|Hiten Mitsurugi Ryuu (Dex).MOD																																																																																DESC:&nl;Known Advanced Techniques|PREABILITY:1,CATEGORY=Special Ability,MA ~ Hiten Mitsurugi Ryuu ~ AC	DESC:Mighty Blow|PREABILITY:1,CATEGORY=Special Ability,MA ~ Hiten Mitsurugi Ryuu ~ AC (Mighty Blow)	DESC:Reach|PREABILITY:1,CATEGORY=Special Ability,MA ~ Hiten Mitsurugi Ryuu ~ AC (Reach)	DESC:Instant Stand|PREABILITY:1,CATEGORY=Special Ability,MA ~ Hiten Mitsurugi Ryuu ~ AC (Instant Stand)	DESC:Versatility|PREABILITY:1,CATEGORY=Special Ability,MA ~ Hiten Mitsurugi Ryuu ~ AC (Versatility)	DESC:Sneak Attack I|PREABILITY:1,CATEGORY=Special Ability,MA ~ Hiten Mitsurugi Ryuu ~ AC (Sneak Attack 1)

Hiten Mitsurugi Ryuu Occult Chooser					KEY:MA ~ Hiten Mitsurugi Ryuu ~ OC				CATEGORY:Special Ability	TYPE:MA ~ Hiten Mitsurugi Ryuu	PREABILITY:5,CATEGORY=Special Ability,MA ~ Hiten Mitsurugi Ryuu ~ AC,MA ~ Hiten Mitsurugi Ryuu ~ BC																																																																																																																																																																																																																																																																																																															MULT:YES	CHOOSE:STRING|Inner Strength|Ki Focus|One Finger|Touch Strike
CATEGORY=Special Ability|Hiten Mitsurugi Ryuu (Dex).MOD																																																																																DESC:&nl;Known Occult Techniques|PREABILITY:1,CATEGORY=Special Ability,MA ~ Hiten Mitsurugi Ryuu ~ OC	DESC:One Finger|PREABILITY:1,CATEGORY=Special Ability,MA ~ Hiten Mitsurugi Ryuu ~ OC (One Finger)	DESC:Inner Strength|PREABILITY:1,CATEGORY=Special Ability,MA ~ Hiten Mitsurugi Ryuu ~ OC (Inner Strength)	DESC:Ki Focus|PREABILITY:1,CATEGORY=Special Ability,MA ~ Hiten Mitsurugi Ryuu ~ OC (Ki Focus)	DESC:Touch Strike|PREABILITY:1,CATEGORY=Special Ability,MA ~ Hiten Mitsurugi Ryuu ~ OC (Touch Strike)


Nightwraith Martial Art (Dex)													SORTKEY:A1	CATEGORY:Special Ability	TYPE:MartialArtsOutput																																																														DESC:The Nightwraith Style focuses on concealment, sudden strikes at vital areas, and on the use of the Sai - as well as inherent mastery of the powers of (physical) darkness. It is smooth, flowing, and generally performed in dark, loose-fitting clothing with wide sleeves and pants - both of which serve to conceal the user's movements in swirling folds of cloth. It's generally regarded as the private art of the Lahir Wraiths (a secretive order of Drow assassins) and they've been known to object to having it spread around.&nl; [Requires] Access to the Shadow Mastery package - or at least something similar. Uses the Sai.&nl; [Basic Techniques] Attack 2, Defenses 2, Power 2, Strike, and Synergy/Stealth.&nl; [Advanced Techniques] Combat Reflexes, Sneak Attack I, Prone Fighting, and an Unarmed Kata (allows use while unarmed as well as with a Sai).&nl; [Occult Techniques] Inner Strength, Light Foot, Serpent Strike, and Touch Strike.

Nightwraith Martial Art Basic Chooser				KEY:MA ~ Nightwraith Martial Art ~ BC			CATEGORY:Special Ability	TYPE:MA ~ Nightwraith Martial Art																																																																																																																																																																																																																																																																																																																																MULT:YES	CHOOSE:STRING|Attack 1|Attack 2|Defenses 1|Defenses 2|Power 1|Power 2|Strike|Synergy/Stealth
CATEGORY=Special Ability|Nightwraith Martial Art (Dex).MOD																																																																																DESC:&nl;Known Basic Techniques|PREABILITY:1,CATEGORY=Special Ability,MA ~ Nightwraith Martial Art ~ BC	DESC:Power 1|PREABILITY:1,CATEGORY=Special Ability,MA ~ Nightwraith Martial Art ~ BC (Power 1)	DESC:Power 2|PREABILITY:1,CATEGORY=Special Ability,MA ~ Nightwraith Martial Art ~ BC (Power 2)	DESC:Attack 1|PREABILITY:1,CATEGORY=Special Ability,MA ~ Nightwraith Martial Art ~ BC (Attack 1)	DESC:Attack 2|PREABILITY:1,CATEGORY=Special Ability,MA ~ Nightwraith Martial Art ~ BC (Attack 2)	DESC:Defenses 1|PREABILITY:1,CATEGORY=Special Ability,MA ~ Nightwraith Martial Art ~ BC (Defenses 1)	DESC:Defenses 2|PREABILITY:1,CATEGORY=Special Ability,MA ~ Nightwraith Martial Art ~ BC (Defenses 2)	DESC:Strike|PREABILITY:1,CATEGORY=Special Ability,MA ~ Nightwraith Martial Art ~ BC (Strike)	DESC:Synergy/Stealth|PREABILITY:1,CATEGORY=Special Ability,MA ~ Nightwraith Martial Art ~ BC (Synergy/Stealth)

Nightwraith Martial Art Advanced Chooser				KEY:MA ~ Nightwraith Martial Art ~ AC			CATEGORY:Special Ability	TYPE:MA ~ Nightwraith Martial Art	PREABILITY:3,CATEGORY=Special Ability,MA ~ Nightwraith Martial Art ~ BC							!PREABILITY:4,CATEGORY=Special Ability,MA ~ Nightwraith Martial Art ~ AC																																																																																																																																																																																																																																																																																																	MULT:YES	CHOOSE:STRING|Combat Reflexes|Prone Fighting|Sneak Attack I|Unarmed Kata
CATEGORY=Special Ability|Nightwraith Martial Art (Dex).MOD																																																																																DESC:&nl;Known Advanced Techniques|PREABILITY:1,CATEGORY=Special Ability,MA ~ Nightwraith Martial Art ~ AC	DESC:Combat Reflexes|PREABILITY:1,CATEGORY=Special Ability,MA ~ Nightwraith Martial Art ~ AC (Combat Reflexes)	DESC:Prone Fighting|PREABILITY:1,CATEGORY=Special Ability,MA ~ Nightwraith Martial Art ~ AC (Prone Fighting)	DESC:Unarmed Kata|PREABILITY:1,CATEGORY=Special Ability,MA ~ Nightwraith Martial Art ~ AC (Unarmed Kata)	DESC:Sneak Attack I|PREABILITY:1,CATEGORY=Special Ability,MA ~ Nightwraith Martial Art ~ AC (Sneak Attack I)

Nightwraith Martial Art Occult Chooser				KEY:MA ~ Nightwraith Martial Art ~ OC			CATEGORY:Special Ability	TYPE:MA ~ Nightwraith Martial Art	PREABILITY:5,CATEGORY=Special Ability,MA ~ Nightwraith Martial Art ~ AC,MA ~ Nightwraith Martial Art ~ BC																																																																																																																																																																																																																																																																																																														MULT:YES	CHOOSE:STRING|Inner Strength|Light Foot|Serpent Strike|Touch Strike
CATEGORY=Special Ability|Nightwraith Martial Art (Dex).MOD																																																																																DESC:&nl;Known Occult Techniques|PREABILITY:1,CATEGORY=Special Ability,MA ~ Nightwraith Martial Art ~ OC	DESC:Light Foot|PREABILITY:1,CATEGORY=Special Ability,MA ~ Nightwraith Martial Art ~ OC (Light Foot)	DESC:Inner Strength|PREABILITY:1,CATEGORY=Special Ability,MA ~ Nightwraith Martial Art ~ OC (Inner Strength)	DESC:Serpent Strike|PREABILITY:1,CATEGORY=Special Ability,MA ~ Nightwraith Martial Art ~ OC (Serpent Strike)	DESC:Touch Strike|PREABILITY:1,CATEGORY=Special Ability,MA ~ Nightwraith Martial Art ~ OC (Touch Strike)

#Toughness 3 (Total DR 5/-), Combat Reflexes.




# Belongs in Eclipse II
Fire Juggler (Dex)														SORTKEY:A1	CATEGORY:Special Ability	TYPE:MartialArtsOutput																																																														DESC:This highly specialized art allows the user to maximize the effectiveness of his or her flame powers in combat. Unsurprisingly for an art which relies on a particular inherent ability, it's generally restricted to the House that happens to have that ability - in this case the House of Gynt. The Fire Juggler's art is spectacular in use, since it sends the user's flames coiling about his or her hands and forearms, adding a certain element of beautiful artistry to the basic ability to incinerate enemies. Secondarily, it's good for both keeping warm and for cooking.&nl; Requires: Inherent ability to Produce Flames&nl; Basic Abilities: Attack 4, Defense 2, Power 2, Synergy/Survival, and Toughness 3.&nl; Advanced and Master Techniques: Prone Combat, Combat Reflexes, Rapid Shot, and Whirlwind Attack.&nl; Occult Techniques: Inner Strength, Light Foot, Resist Pain, and Vanishing.
#
Fire Juggler Basic Chooser						KEY:MA ~ Fire Juggler ~ BC					CATEGORY:Special Ability	TYPE:MA ~ Fire Juggler																																																																																																																																																																																																																																																																																																																																		MULT:YES	CHOOSE:STRING|Attack 1|Attack 2|Attack 3|Attack 4|Defenses 1|Defenses 2|Power 1|Power 2|Synergy/Survival|Toughness 1|Toughness 2|Toughness 3
CATEGORY=Special Ability|Fire Juggler (Dex).MOD																																																																																		DESC:&nl;Known Basic Techniques|PREABILITY:1,CATEGORY=Special Ability,MA ~ Fire Juggler ~ BC	DESC:Attack 1|PREABILITY:1,CATEGORY=Special Ability,MA ~ Fire Juggler ~ BC (Attack 1)	DESC:Attack 2|PREABILITY:1,CATEGORY=Special Ability,MA ~ Fire Juggler ~ BC (Attack 2)	DESC:Attack 3|PREABILITY:1,CATEGORY=Special Ability,MA ~ Fire Juggler ~ BC (Attack 3)	DESC:Attack 4|PREABILITY:1,CATEGORY=Special Ability,MA ~ Fire Juggler ~ BC (Attack 4)	DESC:Defenses 1|PREABILITY:1,CATEGORY=Special Ability,MA ~ Fire Juggler ~ BC (Defenses 1)	DESC:Defenses 2|PREABILITY:1,CATEGORY=Special Ability,MA ~ Fire Juggler ~ BC (Defenses 2)	DESC:Power 1|PREABILITY:1,CATEGORY=Special Ability,MA ~ Fire Juggler ~ BC (Power 1)	DESC:Power 2|PREABILITY:1,CATEGORY=Special Ability,MA ~ Fire Juggler ~ BC (Power 2)	DESC:Synergy/Survival|PREABILITY:1,CATEGORY=Special Ability,MA ~ Fire Juggler ~ BC (Synergy/Survival)	DESC:Toughness 1|PREABILITY:1,CATEGORY=Special Ability,MA ~ Fire Juggler ~ BC (Toughness 1)	DESC:Toughness 2|PREABILITY:1,CATEGORY=Special Ability,MA ~ Fire Juggler ~ BC (Toughness 2)	DESC:Toughness 3|PREABILITY:1,CATEGORY=Special Ability,MA ~ Fire Juggler ~ BC (Toughness 3)

Fire Juggler Advanced Chooser						KEY:MA ~ Fire Juggler ~ AC					CATEGORY:Special Ability	TYPE:MA ~ Fire Juggler			PREABILITY:3,CATEGORY=Special Ability,MA ~ Fire Juggler ~ BC								!PREABILITY:4,CATEGORY=Special Ability,MA ~ Fire Juggler ~ AC																																																																																																																																																																																																																																																																																																			MULT:YES	CHOOSE:STRING|Combat Reflexes|Prone Combat|Rapid Shot|Whirlwind Attack
CATEGORY=Special Ability|Fire Juggler (Dex).MOD																																																																																		DESC:&nl;Known Advanced Techniques|PREABILITY:1,CATEGORY=Special Ability,MA ~ Fire Juggler ~ AC	DESC:Prone Combat|PREABILITY:1,CATEGORY=Special Ability,MA ~ Fire Juggler ~ AC (Prone Combat)	DESC:Combat Reflexes|PREABILITY:1,CATEGORY=Special Ability,MA ~ Fire Juggler ~ AC (Combat Reflexes)	DESC:Rapid Shot|PREABILITY:1,CATEGORY=Special Ability,MA ~ Fire Juggler ~ AC (Rapid Shot)	DESC:Whirlwind Attack|PREABILITY:1,CATEGORY=Special Ability,MA ~ Fire Juggler ~ AC (Whirlwind Attack)

Fire Juggler Occult Chooser						KEY:MA ~ Fire Juggler ~ OC					CATEGORY:Special Ability	TYPE:MA ~ Fire Juggler			PREABILITY:5,CATEGORY=Special Ability,MA ~ Fire Juggler ~ AC,MA ~ Fire Juggler ~ BC																																																																																																																																																																																																																																																																																																																		MULT:YES	CHOOSE:STRING|Inner Strength|Light Foot|Resist Pain|Vanishing
