# CVS $Revision: $ $Author: $ -- Wed May 13 15:00:48 2009 -- reformated by prettylst.pl v1.38 (build 7302)
SOURCELONG:classless	SOURCESHORT:cles
#Original Entry: Andrew Maitland

# CVS $Revision: $ $Author: $ -- Mon Aug 25 14:14:53 2008 -- reformated by prettylst.pl v1.38 (build 7302)
### MAIN SRD SPELLS - REVISED TO MY STANDARDS
###Block: AB
SOURCELONG:Is This It	SOURCESHORT:Is This It	SOURCEDATE:2007-03
Detect Scrying.MOD		CLASSES:Wizardry,Sorcery=4									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Detect Secret Doors.MOD		CLASSES:Wizardry,Sorcery=1									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Detect Snares and Pits.MOD	CLASSES:Wicca ~ Advanced,Wicca=1							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wicca]
Detect Thoughts.MOD		CLASSES:Wizardry,Sorcery=2									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Detect Undead.MOD			CLASSES:Canonry,Canonry ~ Basics=1|Wizardry,Sorcery=1					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Basic Canonry]
Dictum.MOD				CLASSES:Canonry=7										PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Dimension Door.MOD		CLASSES:Wizardry,Sorcery=4									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Dimensional Anchor.MOD		CLASSES:Canonry=4|Wizardry,Sorcery=4								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry]
Dimensional Lock.MOD		CLASSES:Canonry=8|Wizardry,Sorcery=8								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry]
Diminish Plants.MOD		CLASSES:Wicca ~ Advanced,Wicca=3							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wicca]
Discern Lies.MOD			CLASSES:Canonry ~ Basics=3|Canonry=4						PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Canonry]
Discern Location.MOD		CLASSES:Canonry=8|Wizardry,Sorcery=8								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry]
Disguise Self.MOD			CLASSES:Wizardry,Sorcery=1									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Disintegrate.MOD			CLASSES:Wizardry,Sorcery=6									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Dismissal.MOD			CLASSES:Canonry=4|Wizardry,Sorcery=5								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry]
Dispel Chaos.MOD			CLASSES:Canonry=5|Canonry ~ Basics=4						PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Canonry]
Dispel Evil.MOD			CLASSES:Canonry=5|Canonry ~ Basics=4						PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Canonry]
Dispel Good.MOD			CLASSES:Canonry=5										PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Dispel Law.MOD			CLASSES:Canonry=5										PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Dispel Magic.MOD			CLASSES:Canonry,Canonry ~ Basics=3|Wizardry,Sorcery=3|Wicca ~ Advanced=4		PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Wicca,Basic Canonry]
Dispel Magic (Greater).MOD	CLASSES:Wizardry,Sorcery=5|Canonry,Wicca ~ Advanced=6|Wizardry ~ Basic=6			PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Canonry,Advanced Wicca]
Displacement.MOD			CLASSES:Wizardry,Sorcery=3|Wizardry ~ Basic=3								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Disrupt Undead.MOD		CLASSES:Wizardry,Sorcery=0									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Disrupting Weapon.MOD		CLASSES:Canonry=5										PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Divination.MOD			CLASSES:Canonry=4										PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Divine Favor.MOD			CLASSES:Canonry,Canonry ~ Basics=1							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Canonry]
Divine Power.MOD			CLASSES:Canonry=4										PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Dominate Animal.MOD		CLASSES:Wicca ~ Advanced=3								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wicca]
Dominate Monster.MOD		CLASSES:Wizardry,Sorcery=9									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Dominate Person.MOD		CLASSES:Wizardry,Sorcery=4|Wizardry ~ Basic=5								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Doom.MOD				CLASSES:Canonry=1										PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Drawmij's Instant Summons.MOD	CLASSES:Wizardry,Sorcery=7									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Dream.MOD				CLASSES:Wizardry,Sorcery=5|Wizardry ~ Basic=5								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Eagle's Splendor.MOD		CLASSES:Wizardry ~ Basic,Canonry,Canonry ~ Basics=2|Wizardry,Sorcery=2			PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Basic Canonry]
Eagle's Splendor (Mass).MOD	CLASSES:Wizardry,Canonry=6|Wizardry,Sorcery=6						PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry]
Earthquake.MOD			CLASSES:Canonry,Wicca ~ Advanced=8							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry,Advanced Wicca]
Elemental Swarm.MOD		CLASSES:Wicca ~ Advanced=9								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wicca]
Endure Elements.MOD		CLASSES:Canonry,Wicca ~ Advanced,Canonry ~ Basics,Wicca=1|Wizardry,Sorcery=1	PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Basic Wicca,Basic Canonry]
Energy Drain.MOD			CLASSES:Canonry=9|Wizardry,Sorcery=9								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry]
Enervation.MOD			CLASSES:Wizardry,Sorcery=4									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Enlarge Person.MOD		CLASSES:Wizardry,Sorcery=1									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Enlarge Person (Mass).MOD	CLASSES:Wizardry,Sorcery=4									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Entangle.MOD			CLASSES:Wicca ~ Advanced,Wicca=1							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wicca]
Enthrall.MOD			CLASSES:Wizardry,Sorcery,Canonry=2								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Canonry]
Entropic Shield.MOD		CLASSES:Canonry=1										PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Erase.MOD				CLASSES:Wizardry,Sorcery=1									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Ethereal Jaunt.MOD		CLASSES:Canonry=7|Wizardry,Sorcery=7								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry]
Etherealness.MOD			CLASSES:Canonry=9|Wizardry,Sorcery=9								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry]
Evard's Black Tentacles.MOD	CLASSES:Wizardry,Sorcery=4									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Expeditious Retreat.MOD		CLASSES:Wizardry,Sorcery=1									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Explosive Runes.MOD		CLASSES:Wizardry,Sorcery=3									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Eyebite.MOD				CLASSES:Wizardry,Sorcery=6									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]


# CVS $Revision: $ $Author: $ -- Wed May 13 09:58:28 2009 -- reformated by prettylst.pl v1.38 (build 7302)
SOURCELONG:classless	SOURCESHORT:cles
#Original Entry: Andrew Maitland

###Block: FG

# Spell Name					Classes of caster							Components	Multiple Requirements
Fabricate.MOD					CLASSES:Wizardry,Sorcery=5								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Faerie Fire.MOD					CLASSES:Wicca ~ Advanced=1							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wicca]
False Life.MOD					CLASSES:Wizardry,Sorcery=2								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
False Vision.MOD					CLASSES:Wizardry,Sorcery=5|Wizardry,Sorcery=5							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Fear.MOD						CLASSES:Wizardry,Sorcery=3|Wizardry ~ Basic=4							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Feather Fall.MOD					CLASSES:Wizardry,Sorcerer,Wizardry ~ Basic=1					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Feeblemind.MOD					CLASSES:Wizardry,Sorcery=5								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Find the Path.MOD					CLASSES:Wizardry,Canonry,Wicca ~ Advanced=6				PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Canonry,Advanced Wicca]
Find Traps.MOD					CLASSES:Canonry=2									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Finger of Death.MOD				CLASSES:Wizardry,Sorcery=7|Wicca ~ Advanced=8					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Wicca]
Fire Seeds.MOD					CLASSES:Wicca ~ Advanced=6							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wicca]
Fire Shield.MOD					CLASSES:Wizardry,Sorcery=4								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Fire Storm.MOD					CLASSES:Canonry=8|Wicca ~ Advanced=7					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wicca]
Fire Trap.MOD					CLASSES:Wicca ~ Advanced=2|Wizardry,Sorcery=4					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Wicca]
Fireball.MOD					CLASSES:Wizardry,Sorcery=3								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Flame Arrow.MOD					CLASSES:Wizardry,Sorcery=3								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Flame Blade.MOD					CLASSES:Wicca ~ Advanced=2							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wicca]
Flame Strike.MOD					CLASSES:Wicca ~ Advanced=4|Canonry=5					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry,Advanced Wicca]
Flaming Sphere.MOD				CLASSES:Wicca ~ Advanced=2|Wizardry,Sorcery=2					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Wicca]
Flare.MOD						CLASSES:Wizardry,Wicca ~ Advanced=0|Wizardry,Sorcery=0				PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Wicca]
Flesh to Stone.MOD				CLASSES:Wizardry,Sorcery=6								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Fly.MOD						CLASSES:Wizardry,Sorcery=3								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Fog Cloud.MOD					CLASSES:Wicca ~ Advanced=2|Wizardry,Sorcery=2					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Wicca]
Forbiddance.MOD					CLASSES:Canonry=6									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Forcecage.MOD					CLASSES:Wizardry,Sorcery=7								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Foresight.MOD					CLASSES:Wicca ~ Advanced=9|Wizardry,Sorcery=9					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Wicca]
Fox's Cunning.MOD					CLASSES:Wizardry ~ Basic=2|Wizardry,Sorcery=2							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Fox's Cunning (Mass).MOD			CLASSES:Wizardry ~ Basic=6|Wizardry,Sorcery=6							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Freedom.MOD						CLASSES:Wizardry,Sorcery=9								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Freedom of Movement.MOD				CLASSES:Wizardry,Sorcery,Canonry,Wicca ~ Advanced,Wicca=4			PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Canonry,Advanced Wicca]
Gaseous Form.MOD					CLASSES:Wizardry,Sorcery=3|Wizardry ~ Basic=3					COMPS:S, M
Gate.MOD						CLASSES:Canonry=9|Wizardry,Sorcery=9							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry]
Geas (Lesser).MOD					CLASSES:Wizardry,Sorcery=3|Wizardry ~ Basic=4							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Geas/Quest.MOD					CLASSES:Wizardry ~ Basic,Canonry=6|Wizardry,Sorcery=6					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Canonry]
Gentle Repose.MOD					CLASSES:Canonry=2|Wizardry,Sorcery=3							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry]
Ghost Sound.MOD					CLASSES:Wizardry ~ Basic,Sorcerer,Wizardry,Sorcery=0					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Ghoul Touch.MOD					CLASSES:Wizardry,Sorcery=2								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Giant Vermin.MOD					CLASSES:Canonry,Wicca ~ Advanced=4						PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry,Advanced Wicca]
Glibness.MOD					CLASSES:Wizardry,Sorcery=3						COMPS:S
Glitterdust.MOD					CLASSES:Wizardry,Sorcery=2|Wizardry ~ Basic=2							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Globe of Invulnerability.MOD			CLASSES:Wizardry,Sorcery=6								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Globe of Invulnerability (Lesser).MOD	CLASSES:Wizardry,Sorcery=4								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Glyph of Warding.MOD				CLASSES:Canonry=3									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Glyph of Warding (Greater).MOD		CLASSES:Canonry=6									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Good Hope.MOD					CLASSES:Wizardry,Sorcery=3								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Goodberry.MOD					CLASSES:Wicca ~ Advanced=1							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wicca]
Grease.MOD						CLASSES:Wizardry,Sorcery=1|Wizardry ~ Basic=1							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Guards and Wards.MOD				CLASSES:Wizardry,Sorcery=6								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Guidance.MOD					CLASSES:Canonry,Wicca ~ Advanced=0						PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry,Advanced Wicca]
Gust of Wind.MOD					CLASSES:Wicca ~ Advanced=2|Wizardry,Sorcery=2					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Wicca]

###Block: HI

# Spell Name				Classes of caster					Components	Multiple Requirements											Description						Source Page
Hallow.MOD					CLASSES:Canonry,Wicca ~ Advanced=5				PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry,Advanced Wicca]
Hallucinatory Terrain.MOD		CLASSES:Wizardry,Sorcery=4|Wizardry ~ Basic=4					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Halt Undead.MOD				CLASSES:Wizardry,Sorcery=3						PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Harm.MOD					CLASSES:Canonry=6							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Haste.MOD					CLASSES:Wizardry,Sorcery=3|Wizardry ~ Basic=3					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Heal.MOD					CLASSES:Canonry=6|Wicca ~ Advanced=7			PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry,Advanced Wicca]
Heal (Mass).MOD				CLASSES:Canonry=9							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Heal Mount.MOD				CLASSES:Canonry ~ Basics=3					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Canonry]
Heat Metal.MOD				CLASSES:Wicca ~ Advanced=2					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wicca]
Helping Hand.MOD				CLASSES:Canonry=3							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Heroes' Feast.MOD				CLASSES:Wizardry,Canonry=6					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Canonry]
Heroism.MOD					CLASSES:Wizardry,Sorcery=2|Wizardry ~ Basic=3					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Heroism (Greater).MOD			CLASSES:Wizardry,Sorcery=5|Wizardry ~ Basic=6					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Hide from Animals.MOD			CLASSES:Wicca ~ Advanced,Wicca=1		
Hide from Undead.MOD			CLASSES:Canonry=1							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Hold Animal.MOD				CLASSES:Wicca ~ Advanced,Wicca=2				PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wicca]
Hold Monster.MOD				CLASSES:Wizardry,Sorcery=4|Wizardry,Sorcery=5					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Hold Monster (Mass).MOD			CLASSES:Wizardry,Sorcery=9						PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Hold Person.MOD				CLASSES:Wizardry,Sorcery,Canonry=2|Wizardry,Sorcery=3			PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Canonry]
Hold Person (Mass).MOD			CLASSES:Wizardry,Sorcery=7						PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Hold Portal.MOD				CLASSES:Wizardry,Sorcery=1						PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Holy Aura.MOD				CLASSES:Canonry=8							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Holy Sword.MOD				CLASSES:Canonry ~ Basics=4					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Canonry]
Holy Word.MOD				CLASSES:Canonry=7							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Horrid Wilting.MOD			CLASSES:Wizardry,Sorcery=8						PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Hypnotic Pattern.MOD			CLASSES:Wizardry,Sorcery=2|Wizardry ~ Basic=2					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Hypnotism.MOD				CLASSES:Wizardry ~ Basic=1|Wizardry,Sorcery=1					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Ice Storm.MOD				CLASSES:Wicca ~ Advanced=4|Wizardry,Sorcery=4			PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Wicca]
Identify.MOD				CLASSES:Wizardry,Sorcery=1|Wizardry ~ Basic=1					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Illusory Script.MOD			CLASSES:Wizardry,Sorcery=3|Wizardry ~ Basic=3					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Illusory Wall.MOD				CLASSES:Wizardry,Sorcery=4						PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Imbue with Spell Ability.MOD		CLASSES:Canonry=4							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Implosion.MOD				CLASSES:Canonry=9							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Imprisonment.MOD				CLASSES:Wizardry,Sorcery=9						PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Incendiary Cloud.MOD			CLASSES:Wizardry,Sorcery=8						PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Inflict Critical Wounds.MOD		CLASSES:Canonry=4							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Inflict Critical Wounds (Mass).MOD	CLASSES:Canonry=8							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Inflict Light Wounds.MOD		CLASSES:Canonry=1							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Inflict Light Wounds (Mass).MOD	CLASSES:Canonry=5							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Inflict Minor Wounds.MOD		CLASSES:Canonry=0							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Inflict Moderate Wounds.MOD		CLASSES:Canonry=2							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Inflict Moderate Wounds (Mass).MOD	CLASSES:Canonry=6							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Inflict Serious Wounds.MOD		CLASSES:Canonry=3							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Inflict Serious Wounds (Mass).MOD	CLASSES:Canonry=7							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
